# ==== 正文映射 B2: 段落 211-551 ====

# 1.3.1 网格参数
211	1.3.1 网格参数（Mesh parameters）
370	随后，Meteodyn WT 中用于稳定度等级 0 至 6 的入口风速和湍流动能由下式给出：
371-372	- §z < z_s§：§ū = (u*/κ)[ln(z/z₀) − Ψ(z/L)]§，§k = 0.9(u*/κ)²§
373-374	- §z_s < z < z_h§：§ū = u_g − (u_g − u_zs)·ln(z_h/z)/ln(z_h/z_s)§，§k = ((z_top − z)/(z_top − z_s))^0.99 + 0.01)(u*/κ)²§
375	- §z > z_h§：§ū = u_g§，§k = ((z_top − z)/(z_top − z_s))^0.99 + 0.01)(u*/κ)²§
376	其中 §z_top§ 为计算域顶部的海拔。

# 1.6.2 入口边界条件——热稳定度等级 7 至 9
377	1.6.2 入口边界条件——热稳定度等级 7 至 9（Inlet boundary conditions - Thermal stability classes 7 to 9）
378-380	对于强稳定热稳定度条件，需要新的热稳定度模型，即 Meteodyn 三层模型（3L 模型）。该模型涉及稳定度等级 7、8 和 9。
381-382	大气边界层（ABL）被划分为三层，如下图所示。
383	三层模型示意图
384	我们初始化稳定度等级 7 至 9 的平均风廓线和湍流动能廓线：
385-387	- 近地层（§z < z_s§）：§ū = (u*/κ)(ln(z/z₀) + 5z/L)§，§√k₀ = 0.95·c_k·u*§
388-389	其中 §L§ 为莫宁–奥布霍夫长度，湍流系数 §c_k§ 取 1.0，§k₀§ 为常通量层内的 §k§ 值。
390-398	- 局地 MOST 层（§z_s < z ≤ z_h§）：§ū = (u*/κ)(ln(z/z₀) + 5z_s/L + 5(z − z_s)/L_trans)§，§√k = √k₀ + (√k₂₀₀ − √k)(z − z_s)/(200 − z_s)§，§z ≤ 200§
399	其中 §L_trans§ 为局地 MOST 层内的斜率系数。
400-411	- 局地 MOST 层（§z_s < z ≤ z_h§）：§ū = (u*/κ)(ln(z/z₀) + 5z_s/L + 5(z − z_s)/L_trans)§；外层（§z_h < z ≤ 3z_h§）：§ū = (u*/κ)(ln(z/z₀) + 5z_s/L + 5(z_h − z_s)/L_trans + 5(z − z_h)/L_out)§，§√k = √k₀ + (√k₂₀₀ − √k)(z_h − z_s)/(200 − z_s)§
412-413	其中 §L_out§ 为外层斜率系数，§k₂₀₀§ 为 200 m 处的湍流强度。
414-423	- 外层以上（§3z_h < z§）：§ū = (u*/κ)(ln(z/z₀) + 5z_s/L + 5(z_h − z_s)/L_trans + 5·2z_h/L_out)§，§√k = √k₀ + (√k₂₀₀ − √k)(z_h − z_s)/(200 − z_s)§
424	下表列出了 Meteodyn 三层模型中的五个稳定度参数。
425	
426	Meteodyn WT 中稳定度等级 7 至 9 的入口风廓线和入口湍流动能廓线如下图所示。
429	更多信息请参考：
433	KEEP
434	KEEP

# 1.6.3 地面边界条件
435	1.6.3 地面边界条件（Ground boundary conditions）
436	边界条件通过对数廓线给出。地面的动量通量条件等于 §u*²§。湍流动能通量也根据对数壁面律计算。此外，在动量方程中，对所有位于地面的单元引入一个地面汇项 §F_S§：
437	§F_S = −ρ·C_S·U_t·|U|§
438	其中：
439	- §U_t§ 为与下表面相切的风速；
440	- §C_S§ 为标定的阻力与摩擦系数，根据单元的局部粗糙度和热稳定度等级计算。
441	当 20 倍粗糙度长度大于第一层单元的高度时，森林模型将自动激活（参见第 1.7 节"森林模型"）。

# 1.6.4 侧向边界条件
442	1.6.4 侧向边界条件（Lateral boundary conditions）
443	在计算域的侧向边界上施加对称边界条件。

# 1.6.5 顶部边界条件
446	1.6.5 顶部边界条件（Top boundary condition）
447	在计算域的顶部边界上施加压力出流边界条件。

# 1.6.6 出口边界条件
448	1.6.6 出口边界条件（Outlet boundary condition）
449	在计算域的出口边界上施加压力出流边界条件。

# 1.7 森林模型
450	1.7 森林模型（The forest model）
451	原理
452-454	森林模型在动量守恒方程中加入阻力项，并通过改变湍流长度尺度来修正湍流动能方程中的耗散项。
455	1.7.1 冠层高度与粗糙度长度（Canopy height vs roughness length）
456-457	冠层高度 §H_c§ 与粗糙度长度 §z₀§ 的比值可在"用户设置 > CFD（User settings > CFD）"中定义。
459-461	该参数默认值为 20，该值是通过将高粗糙度下的计算廓线与（欧洲规范 1（EC1）第 1-4 部分：风荷载（EN 1991-1-4:2005E），2005）给出的标准廓线进行校准而确定的。
462	1.7.2 表面单元（The surface cells）
463	在邻近地面的单元中，动量方程中施加表面汇项 §F_S§：
464	§F_S = −ρ·C_S·U·|U|§
465	其中 §C_S§ 为依赖单元粗糙度的标定阻力与摩擦系数。
466	1.7.3 体积网格（The volume mesh）
467-468	若冠层高度至少达到第二层单元的底部（垂直方向），则激活森林模型，并施加体积汇项。相应方程为：
469	§F_V = −ρ·C_D·U·|U|§
470	其中 §C_D§：
471	- 取决于森林密度，可在 Meteodyn WT 的"场址（site）"选项卡中修改；
472	- 取决于单元中的森林百分比；
473	- 在 §3H_c/4§ 高度以下为常数，在 §3H_c/4§ 与 §H_c§ 之间线性减小至 0。
474-475	在森林内部，湍流混合长度取 2 m。恰在冠层上方，湍流混合长度在 15 m 深度范围内进行修正。

# 1.8 激光雷达校正
478	1.8 激光雷达校正（The Lidar correction）
479	1.8.1 Zx 激光雷达（Zx Lidar）
481-482	在激光雷达数据处理中作如下假设：测量锥体上的流动是均匀的，即假定 §φ_U = φ_D§ 且 §V_C = (V_U + V_D)/2§。当流动不均匀时，该假设不再成立。在复杂地形中，需要进行 CFD 校正。
483	1.8.2 Windcube 激光雷达（Windcube Lidar）
488	对于 Windcube 激光雷达，校正因子根据 Meteodyn CFD 结果计算，如沿北、西、南、东四条波束的加速因子和入流角。
489	1.8.3 Molas 激光雷达（Molas Lidar）
495	作为 Movelaser Molas B300 的输出，我们得到 §V_lidar§（激光雷达中心处的水平风速分量）和 §D_wind§（激光雷达处的风向）。假定在 Molas 同一水平面上的瞄准锥体内风向均匀。
498-499	校正因子根据 Meteodyn CFD 结果计算，如沿四条瞄准点 §θ_i = 45° + i·90°§ 波束的加速因子和入流角。
500	1.8.4 测量数据校正（Correcting measurements）
501	利用计算得到的入流角，Meteodyn Universe 生成 ZCR 格式的校正文件，可用记事本打开。
502	该文件第一行包含激光雷达的 X 和 Y 坐标（绿色），第二行包含以度为单位的方向扇区（红色），第三行包含以米为单位的测量高度（蓝色），其余行包含校正因子（黑色）。
504	激光雷达位置（m）、方向（°）、高度（m）
505-506	使用该 ZCR 文件校正激光雷达数据时，各方向的测量风速乘以该方向的校正因子。在下面的示例中，高度 80 m、方向扇区 20° 处的激光雷达数据需要增大 5.4%。对于处于中间方向的数据，对校正因子进行插值。

# 1.9 Meteodyn WT 计算域
509	1.9 Meteodyn WT 计算域（Meteodyn WT domains）
511	我们考虑三个用途不同的计算域：
512	- 内圆（Inner circle）的半径等于计算域半径 §R§，§R§ 可通过界面定义，或根据关注点的位置自动计算。只有在内圆内部才可以放置障碍物元素并获得 CFD 结果。
513	- 计算域（computational domain）为正方形，边长等于 §(1.2×R)×2§。正方形的对齐方向取决于入口风向（网格始终与入口风向对齐）。网格在计算域内部生成。因此，只有在该正方形内部才能获得对应风向的 CFD 结果。
514	- 外圆（Outer circle）的半径等于 §1.2×√2×R + 2000 m§，以确保获得评估上风方向地形和粗糙度的最小风程（fetch）：
515	  - 对于地形（orography），需要覆盖整个圆的数据，否则无法启动 CFD 计算；
516-518	  - 对于粗糙度（roughness），可以有较少的数据，Meteodyn WT 将使用默认粗糙度值补全缺失区域。但这可能降低 CFD 结果的质量。

# 1.10 热稳定度等级
521	1.10 热稳定度等级（Thermal stability classes）
522	原理
523	CFD 计算中热稳定度的影响通过 10 个热稳定度等级来考虑，从非常不稳定（等级 0）到非常稳定（等级 9）。
524	这些等级通过奥布霍夫长度 §L§ 来定义，§L§ 表征热效应与机械湍流产生的相对重要性。下表给出了各稳定度等级对应的奥布霍夫长度范围。
530	选择其中某个等级进行计算会影响三个参数：
- 入口风廓线；
- 湍流长度尺度；
- 湍流黏性。
531	该模型在第 1.6 节中有详细描述。
532	1.10.1 由场址测量数据获取 Meteodyn WT 稳定度等级（Obtaining Meteodyn WT classes from site measurements）
533	在稳定情况下，近地层高度可认为与奥布霍夫长度同量级，MOST 理论仅适用于近地层内部。
534	由于必须测量湍流通量，直接从测量数据获取奥布霍夫长度并不简单。因此，通常由测量数据确定梯度理查森数 §Rᵢ§，再利用莫宁–奥布霍夫理论由 §Rᵢ§ 计算奥布霍夫长度。
535	位温梯度由气温梯度减去空气绝热递减率得到（干空气中为 0.0098 K/m；多云大气中为 0.0065 K/m）。
536	§φ_H§ 和 §φ_M§ 为相似理论的莫宁–奥布霍夫函数。根据理论，§Rᵢ§ 不能大于 0.2，此时对应 §L = 0§，意味着机械湍流已被热效应完全抑制。
537	当 §L > 10 m§ 时，可由参考高度 10 m 处评估的理查森数估算 §L§。
538	若得到 §Rᵢ > 0.2§，则意味着处于 §L < 10 m§ 的极强稳定情形。Meteodyn WT 不处理这种情况，而是应用稳定度等级 9，即在 Meteodyn WT 方程中取 §L = 60 m§。
539-546	在复杂地形中，尤其是在山丘或山峰顶部，不能直接使用由测量数据计算的平均风速垂直梯度 §dV/dz§，因为如果存在加速效应，该梯度是局部的，并不能代表决定稳定度的大范围梯度。因此，Meteodyn WT 中的做法是：利用计算得到的加速因子，考虑平坦地形和场址平均粗糙度，确定未受扰动的风梯度。由于加速系数取决于热稳定度，该过程是迭代的。
547	1.10.2 在 Meteodyn WT 中的实现（Implementation in Meteodyn WT）
548	Meteodyn WT 中通过奥布霍夫长度考虑热稳定度的影响。（Arritt, 1987）模型中使用的理查森数是 10 m 高度处的理查森数，直接由奥布霍夫长度导出。由于近地层高度大于 10 m，MOST 理论可应用于 10 m 高度。因此，Meteodyn WT 的 10 个稳定度等级是通过为奥布霍夫长度固定 10 个取值来定义的。
549	其中 4 个等级（等级 3 至 6）处于弱稳定或中等稳定范围内。这是因为在当前 Meteodyn WT 的使用中，通常考虑一个"平均稳定度"，而该平均值一般落在此范围内。此外，即使等级 3 至 6 代表相同的稳定情形，奥布霍夫长度取值的变化也会导致平均风速垂直廓线发生显著变化，因此需要这种细分等级，以更好地拟合实测的平均风廓线。
550	强稳定等级（等级 7 至 9）通过第 1.6 节描述的新稳定度模型（三层湍流模型）处理。

# 1.11 由时间序列计算空气密度
551	1.11 由时间序列计算空气密度（Compute air density from Time series）
