# ==== 正文映射 B1: 段落 71-210 ====
# 格式: <start>-<end><TAB><中文文本>
# 续行(end>start)的段落若为纯文本则删除；含图片则仅清文本保留图。
# 数学片段用 §...§ 包裹（用作 Cambria Math run）。

# 单位与缩写
71	单位与缩写（Units and abbreviations）
175-177	式中 §κ§ 为卡门常数，§z§ 为离地高度，§Sₘ§ 基于理查森通量数 §Rᵢf§ 计算（由（Yamada, 1983）修正）。§l₀§ 为常数，取 100 m，用于限定远离地面处的混合长度（Louis, 1979）。
178	- 在 MOST 层（§z < zₛ§）内，§Sₘ§ 基于理查森通量数计算：
179	- 若 §Rᵢf > 0.16§，则 §Sₘ§ = 0.085
181-183	- 若 §Rᵢf < 0.16§，则 §Sₘ§ = 1.96·(0.1912 − Rᵢf)(0.2341 − Rᵢf) / [(1 − Rᵢf)(0.2231 − Rᵢf)]
185	§Rᵢf§ 取决于 §L§。每个稳定度等级被赋予不同的莫宁–奥布霍夫长度。
186-187	§Rᵢf = 1 − [(Rᵢt² + 1)^(1/2) − Rᵢt]§，其中当 §L < 0§ 时 §Rᵢt = 7/L§；当 §L > 0§ 时 §Rᵢt = (7/L)/(1 + 50/L)§
188	式中 §zₛ§ 为近地层（表面层）高度，§z_h§ 为局地 MOST 层高度。
189-190	- 在局地 MOST 层（§zₛ < z ≤ z_h§）内，§Lₜ§ 不仅取决于稳定度，还与高度有关。因此，§Sₘ_z_h§ 随高度变化：
191-192	§Sₘ_z_h = Sₘ + (Sₘ_out − Sₘ)·(z − zₛ)/(z_h − zₛ)§
193	- 在局地 MOST 层之上（§z_h < z§），§Sₘ_out§ 取值为：

# 1.2 中尺度/微尺度耦合
194	1.2 中尺度/微尺度耦合（Mesoscale/Microscale coupling）
195	统计降尺度与中尺度/微尺度耦合的流程如下：
196-199	- 将 WRF 输出按风向和稳定度类别（基于莫宁–奥布霍夫长度）分类，以得到 MeteodynWT RANS K–l 模型的系综平均入口及顶部边界条件。通过湍流动能和湍流长度尺度模拟三类大气稳定度（不稳定、中性和稳定）。
203	图 1 中尺度入口和边界条件
204-207	- 添加一个力项，使微尺度流动在距地面 500 m 以上的中尺度区域（meso zone）内趋于中尺度风廓线，即将中尺度模式输出的垂直廓线作为体积力同化到 CFD 模型中。在此高度以下不加松弛，因为微尺度 CFD 模型中具有较高的地形分辨率。
209	图 2 中尺度数据守恒

# 1.3 CFD 高级设置
210	1.3 CFD 高级设置（CFD advanced settings）
